Slang,Makna,No_Konteks,Konteks
terdeket,terdekat,1123,@lalalafindyou Adel kamu bikin akun baru aja lagi deh kasian aku liat twt kamu kayak depresi kalo org terdeket tau tuh
traumatik,traumatis,1124,"@RodriChen @fairygothm0m @carilayanan Kekerasan dalam rumah tangga yg dilakukan oleh orangtua kepada anak masih dianggap WAJAR oleh sebagian besar publik +62... Padahal, hal ini banyak menyebabkan org dewasa jadi mengidap PTSD dan Bipolar, tak sedikit jg yg mengalami anger management issue krn masa kecilnya traumatik"
dibaikin,dibaiki,1125,"Umur udah mau 30 tpi jiwa masih sma. Dibaikin seneng girang”, dpet masalah dikit lgsung depresi."
dpet,dapat,1125,"Umur udah mau 30 tpi jiwa masih sma. Dibaikin seneng girang”, dpet masalah dikit lgsung depresi."
lgsung,langsung,1125,"Umur udah mau 30 tpi jiwa masih sma. Dibaikin seneng girang”, dpet masalah dikit lgsung depresi."
menuhi,memenuhi,1126,"@convomfs ngeliat anak orang udah sukses ini itu, kadang mikir.. ""ah, ayah bunda pasti mau punya anak yang suksesnya begitu juga"". yaudah, berakhir depresi sendiri buat menuhi keinginan lebih dr orang lain... kurang bersyukur aja si"
yoon,,1128,"@BTS_twt hai aku datang lagi,nyerah boleh gak sih Yoon? ternyata capek juga terus membohongi keadaan dan mereka dengan mudahnya menyuruh aku buat bahagia tanpa menanyakan kesakitan yang terus menjalar depresi yang makin parah dan trauma yang membuat aku buat nyerah detik ini juga"
chemistry,,1130,"— dan semuanya are fine, gak dibuat-buat. chemistry mereka AJIBBB banget. anw penempatan iklan mereka ini keren bgt dan gak terlalu ketara kalo lagi iklan. komedi, romantis, depresi, sedih, semuanya kerasa banget."
ajibbb,menakjubkan,1130,"— dan semuanya are fine, gak dibuat-buat. chemistry mereka AJIBBB banget. anw penempatan iklan mereka ini keren bgt dan gak terlalu ketara kalo lagi iklan. komedi, romantis, depresi, sedih, semuanya kerasa banget."
anw,omong-omong,1130,"— dan semuanya are fine, gak dibuat-buat. chemistry mereka AJIBBB banget. anw penempatan iklan mereka ini keren bgt dan gak terlalu ketara kalo lagi iklan. komedi, romantis, depresi, sedih, semuanya kerasa banget."
ajakin,ajaki,1131,"Namanya juga bocah, statusnya marah2. Di ajakin ketemuan depresi karena enggak pernah marah2 langsung bertatap muka #apalahini - Jomblo Baper"
apalahini,apalah ini,1131,"Namanya juga bocah, statusnya marah2. Di ajakin ketemuan depresi karena enggak pernah marah2 langsung bertatap muka #apalahini - Jomblo Baper"
baper,bawa perasaan,1131,"Namanya juga bocah, statusnya marah2. Di ajakin ketemuan depresi karena enggak pernah marah2 langsung bertatap muka #apalahini - Jomblo Baper"
idih,ih,1133,@Rudycraft666 Idih najis tolol banget. Parah gblok.. jawabnnya akan sama bego.. makanya cebi tolol parah. Akal sehat ga ada.. Lo tanya kyk anak SD bego . Sama2 di buat. Pasti tujuannya sama.. otak busuk bipolar standar ganda.
gblok,goblok,1133,@Rudycraft666 Idih najis tolol banget. Parah gblok.. jawabnnya akan sama bego.. makanya cebi tolol parah. Akal sehat ga ada.. Lo tanya kyk anak SD bego . Sama2 di buat. Pasti tujuannya sama.. otak busuk bipolar standar ganda.
jawabnnya,jawabannya,1133,@Rudycraft666 Idih najis tolol banget. Parah gblok.. jawabnnya akan sama bego.. makanya cebi tolol parah. Akal sehat ga ada.. Lo tanya kyk anak SD bego . Sama2 di buat. Pasti tujuannya sama.. otak busuk bipolar standar ganda.
rejim,rezim,1135,@PKSejahtera @fahmyalaydroes Pendukung rejim pasti aman ...paling juga depresi karena dibully...
dibully,dirundung,1135,@PKSejahtera @fahmyalaydroes Pendukung rejim pasti aman ...paling juga depresi karena dibully...
soalny,soalnya,1136,"Saat orang sakit pengen sehat, ak orang sehat pengen sakit terus mati. Depresi soalny."
aceh,,1137,"@johanschasma201 engga, depresi selama pulang ke Aceh kemaren 😅"
ila,,1138,"""kak ila kayak orang depresi"" ADEKKU 😺"
ngepush,,1140,@deni_laffete ga ngepush kak :( tp emg anaknya insom + lg depresi alhasil ga bs tidur 😭
pang,,1141,"@aviz_amin @FawzyDede aki2 pang liatin bos, suka depresi"
owalahh,oalah,1142,"@josgayndos owalahh mirip mirippp, shinji jg srg gt. eh tp mitsuya tipe org yg ceria"" tp depresi g?? soalnya shinji gitu"
mirippp,mirip,1142,"@josgayndos owalahh mirip mirippp, shinji jg srg gt. eh tp mitsuya tipe org yg ceria"" tp depresi g?? soalnya shinji gitu"
srg,sering,1142,"@josgayndos owalahh mirip mirippp, shinji jg srg gt. eh tp mitsuya tipe org yg ceria"" tp depresi g?? soalnya shinji gitu"
seinget,seingat,1146,"@moviemenfes Apa ya, gatau si yg seinget gua akhir akhir ini dear evan hansen. Tapi itu bukan depresi juga si lebih ke kecemasan(?)"
evan,,1146,"@moviemenfes Apa ya, gatau si yg seinget gua akhir akhir ini dear evan hansen. Tapi itu bukan depresi juga si lebih ke kecemasan(?)"
hansen,,1146,"@moviemenfes Apa ya, gatau si yg seinget gua akhir akhir ini dear evan hansen. Tapi itu bukan depresi juga si lebih ke kecemasan(?)"
spill,,1148,"@adeemeshh Gue ngerasain di fitnah sampe rembet kerjaan aja udah gedek banget. Ini aib aslinya dibawa sampe kerjaan, bisa depresi sih ini, dulu tuh ada kasus di spill id asli malah bundir, netizen ga pada belajar."
id,,1148,"@adeemeshh Gue ngerasain di fitnah sampe rembet kerjaan aja udah gedek banget. Ini aib aslinya dibawa sampe kerjaan, bisa depresi sih ini, dulu tuh ada kasus di spill id asli malah bundir, netizen ga pada belajar."
bgtulah,begitulah,1150,"@finn6060 @vaguelyoddd Bgtulah..aq msh muda saat nikah (usia 21 dan mas mantan suami 39 thn) berharap stlh nikah sifatnya yg rada2 psycho dan suka main fisik setidaknya berkurang...eh ternyata malah makin menjadi.. Awal2 itu aq depresi..merasa kecewa, merutuki nasib...G da yg mdh dlm hidup ini kak😇"
psycho,,1150,"@finn6060 @vaguelyoddd Bgtulah..aq msh muda saat nikah (usia 21 dan mas mantan suami 39 thn) berharap stlh nikah sifatnya yg rada2 psycho dan suka main fisik setidaknya berkurang...eh ternyata malah makin menjadi.. Awal2 itu aq depresi..merasa kecewa, merutuki nasib...G da yg mdh dlm hidup ini kak😇"
da,ada,1150,"@finn6060 @vaguelyoddd Bgtulah..aq msh muda saat nikah (usia 21 dan mas mantan suami 39 thn) berharap stlh nikah sifatnya yg rada2 psycho dan suka main fisik setidaknya berkurang...eh ternyata malah makin menjadi.. Awal2 itu aq depresi..merasa kecewa, merutuki nasib...G da yg mdh dlm hidup ini kak😇"
mdh,mudah,1150,"@finn6060 @vaguelyoddd Bgtulah..aq msh muda saat nikah (usia 21 dan mas mantan suami 39 thn) berharap stlh nikah sifatnya yg rada2 psycho dan suka main fisik setidaknya berkurang...eh ternyata malah makin menjadi.. Awal2 itu aq depresi..merasa kecewa, merutuki nasib...G da yg mdh dlm hidup ini kak😇"
smoga,semoga,1151,"@luarbiasawow @jellyeena @shallypristine @RodriChen Aku terlihat hebat dan kuat karena Allah menutupi kelemahanku Mbak...aq dah melalui fase depresi, marah2, kecewa dan pada akhirnya aq terima kenyataan bahwa ini cobaan. Urusan dosa/karma urusan Allah saja.. Well doa yg sama buat Mbak ya, smoga slalu dilindungi Allah😇😇"
slalu,selalu,1151,"@luarbiasawow @jellyeena @shallypristine @RodriChen Aku terlihat hebat dan kuat karena Allah menutupi kelemahanku Mbak...aq dah melalui fase depresi, marah2, kecewa dan pada akhirnya aq terima kenyataan bahwa ini cobaan. Urusan dosa/karma urusan Allah saja.. Well doa yg sama buat Mbak ya, smoga slalu dilindungi Allah😇😇"
bdg,bandung,1154,depresi mama sy mau balik ke bdg
ayangnya,sayangnya,1155,ayangnya keburu mati pacarnya depresi utbk
gongja,,1156,"Gongja keliatan depresi banget plis. Tiap nyelesain misi lantai pasti ada aja yg bikin gw sedih smpe pengen mewek :"" https://t.co/8VOXwMnP8Z"
nyelesain,menyelesaikan,1156,"Gongja keliatan depresi banget plis. Tiap nyelesain misi lantai pasti ada aja yg bikin gw sedih smpe pengen mewek :"" https://t.co/8VOXwMnP8Z"
parahh,parah,1157,"""kak ila kayak orang depresi"" ""parahh"" ""iya sumpah kak"" - ""mama kakak depresi kayaknya"" my mom : ""sok depresi kali, mana ada dia sedih sedihnya, kerjaannya marah melulu"" 😺😺"
mom,bu,1157,"""kak ila kayak orang depresi"" ""parahh"" ""iya sumpah kak"" - ""mama kakak depresi kayaknya"" my mom : ""sok depresi kali, mana ada dia sedih sedihnya, kerjaannya marah melulu"" 😺😺"
go,pergi,1159,Depresi itu nyata. Go seek for help is you need. Temen aku ga sadar kalo dia depresi sehabis messy divorce &amp rebutan hak asuh anaknya. Sampe akhirnya dia pas meeting di kantornya lumpuh ga bs ngapa2in krn psikosomatis. Skrg udh 9 bulan berjalan dan masih berobat ke psikiater :(
seek,mencari,1159,Depresi itu nyata. Go seek for help is you need. Temen aku ga sadar kalo dia depresi sehabis messy divorce &amp rebutan hak asuh anaknya. Sampe akhirnya dia pas meeting di kantornya lumpuh ga bs ngapa2in krn psikosomatis. Skrg udh 9 bulan berjalan dan masih berobat ke psikiater :(
help,tolong,1159,Depresi itu nyata. Go seek for help is you need. Temen aku ga sadar kalo dia depresi sehabis messy divorce &amp rebutan hak asuh anaknya. Sampe akhirnya dia pas meeting di kantornya lumpuh ga bs ngapa2in krn psikosomatis. Skrg udh 9 bulan berjalan dan masih berobat ke psikiater :(
messy,kacau,1159,Depresi itu nyata. Go seek for help is you need. Temen aku ga sadar kalo dia depresi sehabis messy divorce &amp rebutan hak asuh anaknya. Sampe akhirnya dia pas meeting di kantornya lumpuh ga bs ngapa2in krn psikosomatis. Skrg udh 9 bulan berjalan dan masih berobat ke psikiater :(
divorce,perceraian,1159,Depresi itu nyata. Go seek for help is you need. Temen aku ga sadar kalo dia depresi sehabis messy divorce &amp rebutan hak asuh anaknya. Sampe akhirnya dia pas meeting di kantornya lumpuh ga bs ngapa2in krn psikosomatis. Skrg udh 9 bulan berjalan dan masih berobat ke psikiater :(
meeting,pertemuan,1159,Depresi itu nyata. Go seek for help is you need. Temen aku ga sadar kalo dia depresi sehabis messy divorce &amp rebutan hak asuh anaknya. Sampe akhirnya dia pas meeting di kantornya lumpuh ga bs ngapa2in krn psikosomatis. Skrg udh 9 bulan berjalan dan masih berobat ke psikiater :(
psikosomatis,psikosomatik,1159,Depresi itu nyata. Go seek for help is you need. Temen aku ga sadar kalo dia depresi sehabis messy divorce &amp rebutan hak asuh anaknya. Sampe akhirnya dia pas meeting di kantornya lumpuh ga bs ngapa2in krn psikosomatis. Skrg udh 9 bulan berjalan dan masih berobat ke psikiater :(
buahaha,tawa,1160,"@riskyungsooo @byufyy buahaha bener bangett, baru kali ini gitu sampe berasa bipolar"
bangett,sangat,1160,"@riskyungsooo @byufyy buahaha bener bangett, baru kali ini gitu sampe berasa bipolar"
nich,ini,1162,@FikriOdtiaRK iya nich belum sempet debut uda keburu depresi kak jadi anak emo
keiatan,kelihatan,1163,@ofDelvia Padahal bagus lah daripada lo keiatan depresi seperti mai wafat ya gak.😞😭😞 Orang-orang nih aneh deh
jessica,,1164,"@anotherchrns Pengin lihat mama Rossa ngga depresi dan saling menguatkan sama Andin, Jessica boleh deh pulang dengar Al meninggal, dan Andin butuh dihibur byk org, kemudian mereka bertiga bersinergi bahu membahu bangun perusahaan bersama, yg ditinggalkan om Irvan, Aldebaran, dan pak hartawan"
irvan,,1164,"@anotherchrns Pengin lihat mama Rossa ngga depresi dan saling menguatkan sama Andin, Jessica boleh deh pulang dengar Al meninggal, dan Andin butuh dihibur byk org, kemudian mereka bertiga bersinergi bahu membahu bangun perusahaan bersama, yg ditinggalkan om Irvan, Aldebaran, dan pak hartawan"
hartawan,,1164,"@anotherchrns Pengin lihat mama Rossa ngga depresi dan saling menguatkan sama Andin, Jessica boleh deh pulang dengar Al meninggal, dan Andin butuh dihibur byk org, kemudian mereka bertiga bersinergi bahu membahu bangun perusahaan bersama, yg ditinggalkan om Irvan, Aldebaran, dan pak hartawan"
kr,korea,1165,@shakestree Kalo org kr tu kayak “lu mending mati” kalo org indo tu gimana ya … asli jahat banget. Kalo kt nih kena komen model “mati aja lu” bukannya depresi malah jadi galak. Tp kalo kena komenan model org indo ni damagenya beda…
komen,komentar,1165,@shakestree Kalo org kr tu kayak “lu mending mati” kalo org indo tu gimana ya … asli jahat banget. Kalo kt nih kena komen model “mati aja lu” bukannya depresi malah jadi galak. Tp kalo kena komenan model org indo ni damagenya beda…
komenan,komentaran,1165,@shakestree Kalo org kr tu kayak “lu mending mati” kalo org indo tu gimana ya … asli jahat banget. Kalo kt nih kena komen model “mati aja lu” bukannya depresi malah jadi galak. Tp kalo kena komenan model org indo ni damagenya beda…
damagenya,kerusakannya,1165,@shakestree Kalo org kr tu kayak “lu mending mati” kalo org indo tu gimana ya … asli jahat banget. Kalo kt nih kena komen model “mati aja lu” bukannya depresi malah jadi galak. Tp kalo kena komenan model org indo ni damagenya beda…
aamiinnnnn,amin,1167,"@hugooreo Aamiinnnnn....masa2 depresi, nangis tiap hari,kecewa, nyalahin diri sendiri, ngamuk2 ga jelas, benci sama anak sndri (krn dia mewarisi mata sipit bapaknya), dipandang buruk tetangga kiri kanan depan belakang, alhamdulillah sudah terlewati... Doa yg sama utk Kakak juga😇😇"
banggain,banggakan,1171,"Di luar koar kebohongan banggain anak, di dalam buat anak depresi. Basi bgt emang"
yup,ya,1174,@havingvan @agnezmo Yup. Pointnya. Mrka depresi si agnes 30tahun berkarir bertahan. Mrka sblum covid aja udah nganggur ga ada kegiatan 🤣
berkarir,berkarier,1174,@havingvan @agnezmo Yup. Pointnya. Mrka depresi si agnes 30tahun berkarir bertahan. Mrka sblum covid aja udah nganggur ga ada kegiatan 🤣
sblum,sebelum,1174,@havingvan @agnezmo Yup. Pointnya. Mrka depresi si agnes 30tahun berkarir bertahan. Mrka sblum covid aja udah nganggur ga ada kegiatan 🤣
aidzin,,1177,Minal aidzin wal faidzin untuk diriku sendiri Kamu sudah cukup berusaha selama ini Maaf membuatmu lebih banyak depresi dan terluka Dan terima kasih sudah menjadi lebih kuat saat ini Dan akan terus improve untuk kedepannya Karna masih banyak jalan yg harus dilalui So fighting https://t.co/uUoE2q0q00
fighting,berkelahi,1177,Minal aidzin wal faidzin untuk diriku sendiri Kamu sudah cukup berusaha selama ini Maaf membuatmu lebih banyak depresi dan terluka Dan terima kasih sudah menjadi lebih kuat saat ini Dan akan terus improve untuk kedepannya Karna masih banyak jalan yg harus dilalui So fighting https://t.co/uUoE2q0q00
ngincar,mengincar,1178,"@literarybase Dari kemarin aku ngincar buku teori tawa dan cara-cara melucu lainnya. Alasannya dari review yg aku baca, buku ini memiliki unsur humor yang dibaluti dgn kesehatan mental. Kita harus aware dgn kesehatan mental. Penasaran cara tokoh utama female membantu TU male yg sedang depresi-"
review,ulasan,1178,"@literarybase Dari kemarin aku ngincar buku teori tawa dan cara-cara melucu lainnya. Alasannya dari review yg aku baca, buku ini memiliki unsur humor yang dibaluti dgn kesehatan mental. Kita harus aware dgn kesehatan mental. Penasaran cara tokoh utama female membantu TU male yg sedang depresi-"
female,perempuan,1178,"@literarybase Dari kemarin aku ngincar buku teori tawa dan cara-cara melucu lainnya. Alasannya dari review yg aku baca, buku ini memiliki unsur humor yang dibaluti dgn kesehatan mental. Kita harus aware dgn kesehatan mental. Penasaran cara tokoh utama female membantu TU male yg sedang depresi-"
mamros,,1180,@vi_eviee Mamros @SNil73 kehilangan roy depresi bertahun tahun dan setiap ketrigger depresi kambuh tapi saat aldebaran hilang dan belum ada kejelasan nasibnya mamros @SNil73 malah camping ..nasib ngenes al hidup untuk bahagiain orang giliran hilang tak ada yang benar' mengingatnya🙃🙃🙃
roy,,1180,@vi_eviee Mamros @SNil73 kehilangan roy depresi bertahun tahun dan setiap ketrigger depresi kambuh tapi saat aldebaran hilang dan belum ada kejelasan nasibnya mamros @SNil73 malah camping ..nasib ngenes al hidup untuk bahagiain orang giliran hilang tak ada yang benar' mengingatnya🙃🙃🙃
ngenes,makan hati,1180,@vi_eviee Mamros @SNil73 kehilangan roy depresi bertahun tahun dan setiap ketrigger depresi kambuh tapi saat aldebaran hilang dan belum ada kejelasan nasibnya mamros @SNil73 malah camping ..nasib ngenes al hidup untuk bahagiain orang giliran hilang tak ada yang benar' mengingatnya🙃🙃🙃
bahagiain,bahagiakan,1180,@vi_eviee Mamros @SNil73 kehilangan roy depresi bertahun tahun dan setiap ketrigger depresi kambuh tapi saat aldebaran hilang dan belum ada kejelasan nasibnya mamros @SNil73 malah camping ..nasib ngenes al hidup untuk bahagiain orang giliran hilang tak ada yang benar' mengingatnya🙃🙃🙃
makasihh,terima kasih,1181,"@saku_hato_ makasihh saku dh doain gw juga, anjir gw tuh aaaaa depresi sih maaf mrk berdua tuh ngelit abis anjng makanya gw seneng banget skrg mrk gampang pulang anjir😭😭 moga menang ye saku"
doain,doakan,1181,"@saku_hato_ makasihh saku dh doain gw juga, anjir gw tuh aaaaa depresi sih maaf mrk berdua tuh ngelit abis anjng makanya gw seneng banget skrg mrk gampang pulang anjir😭😭 moga menang ye saku"
aaaaa,ah,1181,"@saku_hato_ makasihh saku dh doain gw juga, anjir gw tuh aaaaa depresi sih maaf mrk berdua tuh ngelit abis anjng makanya gw seneng banget skrg mrk gampang pulang anjir😭😭 moga menang ye saku"
ngelit,,1181,"@saku_hato_ makasihh saku dh doain gw juga, anjir gw tuh aaaaa depresi sih maaf mrk berdua tuh ngelit abis anjng makanya gw seneng banget skrg mrk gampang pulang anjir😭😭 moga menang ye saku"
anjng,anjing,1181,"@saku_hato_ makasihh saku dh doain gw juga, anjir gw tuh aaaaa depresi sih maaf mrk berdua tuh ngelit abis anjng makanya gw seneng banget skrg mrk gampang pulang anjir😭😭 moga menang ye saku"
commid,,1182,"Ya emang gila gue ga pake cw , banyak juga yg ke TRIGGER, maag seribu maaf ,gue kaya bocah aja depresi ga tau tempat , maaf KLO gue commid su1c1de? Gue cuman orang yg masih labil dalam memperlakukan diri gue sendiri"
sucde,bunuh diri,1182,"Ya emang gila gue ga pake cw , banyak juga yg ke TRIGGER, maag seribu maaf ,gue kaya bocah aja depresi ga tau tempat , maaf KLO gue commid su1c1de? Gue cuman orang yg masih labil dalam memperlakukan diri gue sendiri"
terimakasih,terima kasih,1183,"See gue nrima saran lu ,makasi berjuta terimakasih Maaf gue ga bisa mendam rada depresi ini terlalu dalam tekanan batin ngubah ketikan gue jadi 360°"
ngubah,mengubah,1183,"See gue nrima saran lu ,makasi berjuta terimakasih Maaf gue ga bisa mendam rada depresi ini terlalu dalam tekanan batin ngubah ketikan gue jadi 360°"
°,,1183,"See gue nrima saran lu ,makasi berjuta terimakasih Maaf gue ga bisa mendam rada depresi ini terlalu dalam tekanan batin ngubah ketikan gue jadi 360°"
second,kedua,1189,"@JPFBASE 5 cm/second bangke, w depresi sebulan lihat itu"
menfitnah,memfitnah,1193,"Narasi yg diduga provokatif ini sangat berbahaya bila didiamkan, karena diduga kuat seenaknya menuduh &amp; menfitnah, hal seperti inilah yg sesungguhnya intoleran, selalu depresi bila melihat orang baik berkumpul, kasihan negeri ini bila dipenuhi oleh orang² yg sakit hati spt ini"
sblmnya,sebelumnya,1194,"Klo abis di diagnosis sama psikolog, ternyata kita punya depresi. Itu bikin kita kepikiran gak si? Kek ke trigger jadi apa2 gak enak, perasaan, pikiran jadi lebih rumit. Pdhl sblmnya biasa aja, bisa cari solusi sendiri. Gw bingung deh, adek gw makin sensitif setelah konsul."
unikaneh,,1195,#unikaneh #ntb &gt 20% dan membantu meringankan depresi hingga 25%. (sciencedaily)
ntb,,1195,#unikaneh #ntb &gt 20% dan membantu meringankan depresi hingga 25%. (sciencedaily)
sciencedaily,,1195,#unikaneh #ntb &gt 20% dan membantu meringankan depresi hingga 25%. (sciencedaily)
eiji,,1196,"- aku lupa, yang bilang kalo si eiji ga bener2 liat ash pas mereka terakhir ketemu anddd the fact that eiji won't be able to meet ash alive everrrrrrr again makin bikin depresi yekan🥲 seminggu keinget itu mulu bikin gila anjir"
anddd,dan,1196,"- aku lupa, yang bilang kalo si eiji ga bener2 liat ash pas mereka terakhir ketemu anddd the fact that eiji won't be able to meet ash alive everrrrrrr again makin bikin depresi yekan🥲 seminggu keinget itu mulu bikin gila anjir"
able,mampu,1196,"- aku lupa, yang bilang kalo si eiji ga bener2 liat ash pas mereka terakhir ketemu anddd the fact that eiji won't be able to meet ash alive everrrrrrr again makin bikin depresi yekan🥲 seminggu keinget itu mulu bikin gila anjir"
meet,bertemu,1196,"- aku lupa, yang bilang kalo si eiji ga bener2 liat ash pas mereka terakhir ketemu anddd the fact that eiji won't be able to meet ash alive everrrrrrr again makin bikin depresi yekan🥲 seminggu keinget itu mulu bikin gila anjir"
everrrrrrr,,1196,"- aku lupa, yang bilang kalo si eiji ga bener2 liat ash pas mereka terakhir ketemu anddd the fact that eiji won't be able to meet ash alive everrrrrrr again makin bikin depresi yekan🥲 seminggu keinget itu mulu bikin gila anjir"
again,lagi,1196,"- aku lupa, yang bilang kalo si eiji ga bener2 liat ash pas mereka terakhir ketemu anddd the fact that eiji won't be able to meet ash alive everrrrrrr again makin bikin depresi yekan🥲 seminggu keinget itu mulu bikin gila anjir"
yekan,iya kan,1196,"- aku lupa, yang bilang kalo si eiji ga bener2 liat ash pas mereka terakhir ketemu anddd the fact that eiji won't be able to meet ash alive everrrrrrr again makin bikin depresi yekan🥲 seminggu keinget itu mulu bikin gila anjir"
keinget,teringat,1196,"- aku lupa, yang bilang kalo si eiji ga bener2 liat ash pas mereka terakhir ketemu anddd the fact that eiji won't be able to meet ash alive everrrrrrr again makin bikin depresi yekan🥲 seminggu keinget itu mulu bikin gila anjir"
disability,disabilitas,1199,"@shakearth @animefess_ Hmmm kalo disability cowok blm pernah baca sih Tapi kalo depresi mungkin bisa coba; Inu to Kuzu (ini agak 18+ sedikit), atau Koisuru Kiseichuu yg udah tamat. Kalo mau yang depresi semua karakternya (ga cuma cowoknya) coba Boys Abyss 🙃 https://t.co/odT6nLHDDn"
inu,,1199,"@shakearth @animefess_ Hmmm kalo disability cowok blm pernah baca sih Tapi kalo depresi mungkin bisa coba; Inu to Kuzu (ini agak 18+ sedikit), atau Koisuru Kiseichuu yg udah tamat. Kalo mau yang depresi semua karakternya (ga cuma cowoknya) coba Boys Abyss 🙃 https://t.co/odT6nLHDDn"
kuzu,,1199,"@shakearth @animefess_ Hmmm kalo disability cowok blm pernah baca sih Tapi kalo depresi mungkin bisa coba; Inu to Kuzu (ini agak 18+ sedikit), atau Koisuru Kiseichuu yg udah tamat. Kalo mau yang depresi semua karakternya (ga cuma cowoknya) coba Boys Abyss 🙃 https://t.co/odT6nLHDDn"
koisuru,,1199,"@shakearth @animefess_ Hmmm kalo disability cowok blm pernah baca sih Tapi kalo depresi mungkin bisa coba; Inu to Kuzu (ini agak 18+ sedikit), atau Koisuru Kiseichuu yg udah tamat. Kalo mau yang depresi semua karakternya (ga cuma cowoknya) coba Boys Abyss 🙃 https://t.co/odT6nLHDDn"
kiseichuu,,1199,"@shakearth @animefess_ Hmmm kalo disability cowok blm pernah baca sih Tapi kalo depresi mungkin bisa coba; Inu to Kuzu (ini agak 18+ sedikit), atau Koisuru Kiseichuu yg udah tamat. Kalo mau yang depresi semua karakternya (ga cuma cowoknya) coba Boys Abyss 🙃 https://t.co/odT6nLHDDn"
boys,anak laki-laki,1199,"@shakearth @animefess_ Hmmm kalo disability cowok blm pernah baca sih Tapi kalo depresi mungkin bisa coba; Inu to Kuzu (ini agak 18+ sedikit), atau Koisuru Kiseichuu yg udah tamat. Kalo mau yang depresi semua karakternya (ga cuma cowoknya) coba Boys Abyss 🙃 https://t.co/odT6nLHDDn"
abyss,,1199,"@shakearth @animefess_ Hmmm kalo disability cowok blm pernah baca sih Tapi kalo depresi mungkin bisa coba; Inu to Kuzu (ini agak 18+ sedikit), atau Koisuru Kiseichuu yg udah tamat. Kalo mau yang depresi semua karakternya (ga cuma cowoknya) coba Boys Abyss 🙃 https://t.co/odT6nLHDDn"
high,tinggi,1201,@lulusmekflu @txtdarideputy mundur mas dia sukanya cina katolik high achiever bukan batak protestan depresi kyk kita
achiever,penerima,1201,@lulusmekflu @txtdarideputy mundur mas dia sukanya cina katolik high achiever bukan batak protestan depresi kyk kita
pujiyono,,1202,"Diduga Depresi, Pujiyono Nekad Gantung diri Tinggalkan Istri yang Sedang Mengandung https://t.co/H1joGVpNY5"
judge,menilai,1203,"@rinoo1997 @AREAJULID Apalgi modelan ortu seperti ini, pasti semuanya serba di judge dan diomelin. Ini tahun 2022, semuanya uda ngga kaya dulu lgi, mindset ortu seperti ini sdh kuno dan bisa merusak anak2 mereka sendiri, knp kamu pikir remaja2 zaman skrg banyak yg depresi?"
diomelin,diomeli,1203,"@rinoo1997 @AREAJULID Apalgi modelan ortu seperti ini, pasti semuanya serba di judge dan diomelin. Ini tahun 2022, semuanya uda ngga kaya dulu lgi, mindset ortu seperti ini sdh kuno dan bisa merusak anak2 mereka sendiri, knp kamu pikir remaja2 zaman skrg banyak yg depresi?"
amazarashi,,1204,Depresi mengarahkanku pada amazarashi 😎👍
esas,,1205,"Pasien dengan intensitas gejala fisik yang lebih tinggi dengan skor ESAS (nyeri, kelelahan, kantuk, dispnea, insomnia), depresi, kecemasan, nyeri spiritual, dan kesulitan keuangan memiliki makna hidup yang lebih rendah secara signifikan. https://t.co/Xh81raf8UD"
dispnea,,1205,"Pasien dengan intensitas gejala fisik yang lebih tinggi dengan skor ESAS (nyeri, kelelahan, kantuk, dispnea, insomnia), depresi, kecemasan, nyeri spiritual, dan kesulitan keuangan memiliki makna hidup yang lebih rendah secara signifikan. https://t.co/Xh81raf8UD"
new,baru,1206,halo new moots salam kenal💀 maaf lg depresi dapet qiqi c2
moots,,1206,halo new moots salam kenal💀 maaf lg depresi dapet qiqi c2
dy,,1208,"@ClassicalOpera gue si hanya berpendapat yg menurut gue ini menyangkut rl org , benci boleh tp mematikan rezeki org jangan , meski lu ga lakuin secara langsung tp itu fatal &amp; disini skrg dy depresi , udah di pecat krn tweetan lu , masih harus mikirin buat hidupin keluarganya"
tweetan,cuitan,1208,"@ClassicalOpera gue si hanya berpendapat yg menurut gue ini menyangkut rl org , benci boleh tp mematikan rezeki org jangan , meski lu ga lakuin secara langsung tp itu fatal &amp; disini skrg dy depresi , udah di pecat krn tweetan lu , masih harus mikirin buat hidupin keluarganya"
hidupin,menghidupi,1208,"@ClassicalOpera gue si hanya berpendapat yg menurut gue ini menyangkut rl org , benci boleh tp mematikan rezeki org jangan , meski lu ga lakuin secara langsung tp itu fatal &amp; disini skrg dy depresi , udah di pecat krn tweetan lu , masih harus mikirin buat hidupin keluarganya"
nambahnya,menambahnya,1210,@lisztoked Plis iya bgttt. Nambah anak = menambah kemungkinan bipolar sih gue. 😭nambahnya mungkin cm 1 pressurenya luar biasa
pressurenya,tekanannya,1210,@lisztoked Plis iya bgttt. Nambah anak = menambah kemungkinan bipolar sih gue. 😭nambahnya mungkin cm 1 pressurenya luar biasa
semicolon,titik koma,1214,"Semicolon project ditujukan sebagai bentuk dukungan kepada orang-orang yang mengalami gangguan mental, seperti stres, depresi, adiksi, hingga gangguan mental yang menyebabkan kita ingin menyakiti dan menghabisi diri sendiri."
project,proyek,1214,"Semicolon project ditujukan sebagai bentuk dukungan kepada orang-orang yang mengalami gangguan mental, seperti stres, depresi, adiksi, hingga gangguan mental yang menyebabkan kita ingin menyakiti dan menghabisi diri sendiri."
daesung,,1215,Daesung menggambarkan si korbannya *kayaknya* depresi karena bawa buku ini. Hmmm
